tol_mult,families,cap,mode,n,nz,hod7.5,lod7.5,rand7.5,hod10,lod10,rand10,min10,min7.5,lift10
1.0,cam+em+ext+ladder+pdc+piv+pw,30,snap,313,23.9265,0.4569,0.5176,0.4738,0.5431,0.6134,0.6309,0.5431,0.4569,-0.052650000000000086
0.75,base,45,snap,313,26.2748,0.4441,0.5783,0.5115,0.5431,0.6773,0.6791,0.5431,0.4441,-0.06889999999999996
2.0,base,45,mean,313,22.984,0.4281,0.5399,0.4409,0.5399,0.6613,0.5878,0.5399,0.4281,0.012800000000000034
1.5,atr+cam+em+pdc+piv+pw,30,snap,313,23.4409,0.4441,0.5335,0.4641,0.5399,0.6422,0.6183,0.5399,0.4441,-0.027249999999999885
1.0,atr+cam+em+ext+pdc+piv+pw,30,mean,313,23.4601,0.4409,0.524,0.4644,0.5399,0.6262,0.6184,0.5399,0.4409,-0.03534999999999988
1.0,atr+cam+em+ext+pdc+piv+pw,30,snap,313,23.4665,0.4473,0.5335,0.4646,0.5399,0.6166,0.6186,0.5399,0.4473,-0.04035
1.0,cam+em+ext+ladder+pdc+piv+pw,30,mean,313,23.9201,0.4505,0.5208,0.4737,0.5399,0.6326,0.6307,0.5399,0.4505,-0.04444999999999999
1.5,atr+cam+em+ext+ladder+pdc+piv+pw,30,snap,313,24.1246,0.4601,0.5431,0.4775,0.5399,0.6422,0.6358,0.5399,0.4601,-0.044749999999999956
1.0,base,45,mean,313,25.476,0.4409,0.5559,0.4937,0.5399,0.6709,0.6571,0.5399,0.4409,-0.05169999999999997
1.0,atr+cam+em+ext+ladder+pdc+piv+pw,30,snap,313,24.115,0.4505,0.5304,0.4776,0.5399,0.623,0.6359,0.5399,0.4505,-0.05445
1.5,base,45,snap,313,23.8594,0.4345,0.5623,0.4591,0.5367,0.6677,0.6121,0.5367,0.4345,-0.00990000000000002
1.5,atr+cam+em+pdc+piv+pw,30,mean,313,23.4409,0.4249,0.5304,0.4641,0.5367,0.6454,0.6183,0.5367,0.4249,-0.027249999999999996
1.0,base,45,snap,313,25.476,0.4345,0.5719,0.4937,0.5367,0.6741,0.6571,0.5367,0.4345,-0.05170000000000008
1.0,cam+em+ext+pdc+piv+pw,30,snap,313,23.3099,0.4569,0.5367,0.4614,0.5335,0.6134,0.6144,0.5335,0.4569,-0.04094999999999993
2.0,base,0,snap,313,23.6518,0.4153,0.5623,0.4491,0.5304,0.6645,0.5988,0.5304,0.4153,-0.0013499999999999623
1.5,cam+em+ext+ladder+pdc+piv+pw,30,mean,313,23.9617,0.4313,0.5304,0.4743,0.5304,0.6486,0.6315,0.5304,0.4313,-0.04200000000000004
2.0,base,45,snap,313,22.9808,0.4121,0.5623,0.4408,0.5272,0.6645,0.5878,0.5272,0.4121,0.008050000000000002
1.0,cam+em+ext+pdc+piv+pw,30,mean,313,23.3035,0.4441,0.5272,0.4613,0.5272,0.6262,0.6142,0.5272,0.4441,-0.03749999999999998
1.0,cam+pdc+piv,30,snap,313,22.9329,0.4505,0.5591,0.4532,0.524,0.6358,0.6042,0.524,0.4505,-0.024299999999999877
1.5,atr+cam+em+ext+ladder+pdc+piv+pw,30,mean,313,24.1246,0.4249,0.5431,0.4774,0.524,0.655,0.6357,0.524,0.4249,-0.04620000000000002
1.0,cam+pdc+piv,30,mean,313,22.9329,0.4345,0.5527,0.4532,0.5208,0.6326,0.6042,0.5208,0.4345,-0.02749999999999997
0.75,atr+cam+em+ext+pdc+piv+pw,30,snap,313,23.3035,0.4185,0.5367,0.4612,0.5144,0.607,0.6141,0.5144,0.4185,-0.0534
0.75,cam+pdc+piv,30,snap,313,22.9425,0.4281,0.5527,0.4539,0.5112,0.623,0.6051,0.5112,0.4281,-0.038000000000000034
0.75,atr+cam+em+ext+pdc+piv+pw,30,mean,313,23.3003,0.4217,0.524,0.4611,0.5112,0.6134,0.614,0.5112,0.4217,-0.05169999999999997
1.0,cam+em+pdc+piv,30,snap,313,23.1917,0.4377,0.5559,0.4591,0.508,0.639,0.6117,0.508,0.4377,-0.03820000000000001
0.75,cam+pdc+piv,30,mean,313,22.9425,0.4217,0.5463,0.4539,0.508,0.623,0.605,0.508,0.4217,-0.03949999999999998
1.0,atr+cam+em+pdc+piv+pw,30,mean,313,23.3546,0.4217,0.5176,0.4625,0.508,0.6134,0.6159,0.508,0.4217,-0.05520000000000003
1.0,atr+cam+em+pdc+piv+pw,30,snap,313,23.3546,0.4345,0.5272,0.4625,0.508,0.6134,0.6159,0.508,0.4345,-0.05520000000000003
1.0,cam+em+pdc+piv,30,mean,313,23.1917,0.4249,0.5463,0.4591,0.5048,0.639,0.6117,0.5048,0.4249,-0.03979999999999995
0.75,cam+em+pdc+piv,30,snap,313,23.099,0.4281,0.5495,0.4574,0.5048,0.623,0.6093,0.5048,0.4281,-0.045399999999999885
0.75,cam+em+ext+pdc+piv+pw,30,snap,313,23.1342,0.4121,0.5399,0.4578,0.5048,0.607,0.6095,0.5048,0.4121,-0.05359999999999998
0.75,atr+cam+em+pdc+piv+pw,30,snap,313,23.1821,0.4185,0.5272,0.4591,0.5048,0.6006,0.6112,0.5048,0.4185,-0.058499999999999996
0.75,cam+em+ext+ladder+pdc+piv+pw,30,mean,313,23.7316,0.4185,0.5112,0.47,0.5048,0.607,0.6258,0.5048,0.4185,-0.06989999999999996
0.75,cam+em+ext+ladder+pdc+piv+pw,30,snap,313,23.7348,0.4185,0.5176,0.4701,0.5048,0.5911,0.6259,0.5048,0.4185,-0.07795000000000007
0.75,atr+cam+em+ext+ladder+pdc+piv+pw,30,mean,313,23.9521,0.4153,0.508,0.4742,0.5048,0.6006,0.6314,0.5048,0.4153,-0.07869999999999999
0.75,atr+cam+em+ext+ladder+pdc+piv+pw,30,snap,313,23.9553,0.4089,0.5176,0.4743,0.5048,0.5879,0.6316,0.5048,0.4089,-0.08525000000000005
1.0,cam+em+pdc+piv+pw,30,snap,313,23.2045,0.4345,0.5463,0.4593,0.5016,0.6358,0.6119,0.5016,0.4345,-0.043200000000000016
0.75,cam+em+pdc+piv,30,mean,313,23.099,0.4217,0.5431,0.4574,0.5016,0.623,0.6093,0.5016,0.4217,-0.04699999999999993
0.75,cam+em+pdc+piv+pw,30,snap,313,23.1022,0.4217,0.5463,0.4574,0.5016,0.6198,0.6093,0.5016,0.4217,-0.04859999999999998
0.75,cam+em+ext+pdc+piv+pw,30,mean,313,23.131,0.4089,0.5304,0.4577,0.5016,0.6166,0.6094,0.5016,0.4089,-0.05030000000000001
0.75,atr+cam+em+pdc+piv+pw,30,mean,313,23.1821,0.4121,0.5208,0.459,0.5016,0.6006,0.6112,0.5016,0.4121,-0.06009999999999993
1.0,cam+em+pdc+piv+pw,30,mean,313,23.2045,0.4217,0.5399,0.4593,0.4984,0.6358,0.6118,0.4984,0.4217,-0.04469999999999996
0.75,cam+em+pdc+piv+pw,30,mean,313,23.1022,0.4153,0.5399,0.4574,0.4984,0.6198,0.6093,0.4984,0.4153,-0.05019999999999991
2.0,base,30,mean,313,19.6581,0.3674,0.492,0.384,0.476,0.6102,0.5121,0.476,0.3674,0.030999999999999917
1.5,base,30,mean,313,19.9265,0.3674,0.5016,0.39,0.4728,0.6102,0.5201,0.4728,0.3674,0.021399999999999975
1.5,base,30,snap,313,19.9265,0.3642,0.5144,0.3901,0.4665,0.6166,0.5201,0.4665,0.3642,0.02144999999999997
2.0,base,30,snap,313,19.655,0.3546,0.5144,0.384,0.4633,0.6134,0.512,0.4633,0.3546,0.026349999999999985
1.0,base,30,snap,313,20.3898,0.361,0.524,0.3999,0.4537,0.623,0.5332,0.4537,0.361,0.005149999999999988
1.0,base,30,mean,313,20.3898,0.3674,0.508,0.3999,0.4537,0.6198,0.5332,0.4537,0.3674,0.003550000000000053
0.75,base,30,snap,313,20.655,0.3578,0.5176,0.4057,0.4473,0.6166,0.5409,0.4473,0.3578,-0.008950000000000014
0.75,base,30,mean,313,20.655,0.3642,0.5112,0.4057,0.4473,0.6134,0.5409,0.4473,0.3642,-0.01055000000000006
