tol_mult,families,cap,mode,n,nz,hod7.5,lod7.5,rand7.5,hod10,lod10,rand10,min10,min7.5,lift10
2.0,cam+em+ext+pdc+piv+pw,0,mean,313,34.3323,0.6581,0.6709,0.6555,0.7572,0.8147,0.8677,0.7572,0.6581,-0.0817500000000001
2.0,cam+em+ext+ladder+pdc+piv+pw,45,mean,313,34.9425,0.6486,0.6709,0.6839,0.754,0.7859,0.8798,0.754,0.6486,-0.10985
2.0,atr+cam+em+ext+ladder+pdc+piv+pw,45,snap,313,35.3003,0.6581,0.6773,0.6916,0.754,0.7796,0.8841,0.754,0.6581,-0.11730000000000007
0.75,atr+cam+em+pdc+piv+pw,0,snap,313,43.3099,0.6486,0.7508,0.8231,0.754,0.8371,0.9636,0.754,0.6486,-0.16805000000000003
2.0,cam+em+ext+pdc+piv+pw,0,snap,313,34.3291,0.6518,0.6837,0.6555,0.7508,0.8019,0.8674,0.7508,0.6518,-0.09104999999999996
1.5,atr+cam+em+ext+ladder+pdc+piv+pw,45,snap,313,36.7284,0.6613,0.6805,0.7233,0.7508,0.7732,0.8874,0.7508,0.6613,-0.12539999999999996
0.75,atr+cam+em+pdc+piv+pw,0,mean,313,43.3099,0.6486,0.7444,0.8231,0.7508,0.8371,0.9637,0.7508,0.6486,-0.16975000000000007
2.0,cam+em+ext+ladder+pdc+piv+pw,45,snap,313,34.9393,0.6486,0.6741,0.6839,0.7444,0.77,0.8795,0.7444,0.6486,-0.12229999999999996
1.5,atr+cam+em+ext+ladder+pdc+piv+pw,45,mean,313,36.7284,0.6581,0.6741,0.7232,0.7444,0.7764,0.8875,0.7444,0.6581,-0.1271
1.5,cam+em+ext+ladder+pdc+piv+pw,45,snap,313,36.4888,0.655,0.6741,0.7182,0.7444,0.7636,0.8855,0.7444,0.655,-0.13149999999999995
2.0,atr+cam+em+ext+pdc+piv+pw,45,mean,313,32.6997,0.6422,0.6773,0.6365,0.7412,0.7987,0.8401,0.7412,0.6422,-0.07015000000000005
1.0,atr+cam+em+pdc+piv+pw,0,snap,313,40.278,0.639,0.7476,0.7721,0.7412,0.8371,0.9461,0.7412,0.639,-0.15695000000000003
1.5,cam+em+ext+ladder+pdc+piv+pw,45,mean,313,36.4888,0.6454,0.6709,0.7182,0.738,0.7732,0.8856,0.738,0.6454,-0.13
